70:A8:E3:xx:xx:xx	70-A8-E3-xx-xx-xx	70A8.E3xx.xxxx
70:C7:F2:xx:xx:xx	70-C7-F2-xx-xx-xx	70C7.F2xx.xxxx
70:D3:13:xx:xx:xx	70-D3-13-xx-xx-xx	70D3.13xx.xxxx
74:5A:AA:xx:xx:xx	74-5A-AA-xx-xx-xx	745A.AAxx.xxxx
74:60:FA:xx:xx:xx	74-60-FA-xx-xx-xx	7460.FAxx.xxxx
74:88:2A:xx:xx:xx	74-88-2A-xx-xx-xx	7488.2Axx.xxxx
74:9D:8F:xx:xx:xx	74-9D-8F-xx-xx-xx	749D.8Fxx.xxxx
74:A0:63:xx:xx:xx	74-A0-63-xx-xx-xx	74A0.63xx.xxxx
74:A5:28:xx:xx:xx	74-A5-28-xx-xx-xx	74A5.28xx.xxxx
74:C1:4F:xx:xx:xx	74-C1-4F-xx-xx-xx	74C1.4Fxx.xxxx
74:D2:1D:xx:xx:xx	74-D2-1D-xx-xx-xx	74D2.1Dxx.xxxx
78:1D:BA:xx:xx:xx	78-1D-BA-xx-xx-xx	781D.BAxx.xxxx
78:58:60:xx:xx:xx	78-58-60-xx-xx-xx	7858.60xx.xxxx
78:62:56:xx:xx:xx	78-62-56-xx-xx-xx	7862.56xx.xxxx
78:6A:89:xx:xx:xx	78-6A-89-xx-xx-xx	786A.89xx.xxxx
78:D7:52:xx:xx:xx	78-D7-52-xx-xx-xx	78D7.52xx.xxxx
78:F5:57:xx:xx:xx	78-F5-57-xx-xx-xx	78F5.57xx.xxxx
78:F5:FD:xx:xx:xx	78-F5-FD-xx-xx-xx	78F5.FDxx.xxxx
7C:11:CB:xx:xx:xx	7C-11-CB-xx-xx-xx	7C11.CBxx.xxxx
7C:1C:F1:xx:xx:xx	7C-1C-F1-xx-xx-xx	7C1C.F1xx.xxxx
7C:60:97:xx:xx:xx	7C-60-97-xx-xx-xx	7C60.97xx.xxxx
7C:76:68:xx:xx:xx	7C-76-68-xx-xx-xx	7C76.68xx.xxxx
7C:7D:3D:xx:xx:xx	7C-7D-3D-xx-xx-xx	7C7D.3Dxx.xxxx
7C:A1:77:xx:xx:xx	7C-A1-77-xx-xx-xx	7CA1.77xx.xxxx
7C:A2:3E:xx:xx:xx	7C-A2-3E-xx-xx-xx	7CA2.3Exx.xxxx
7C:B1:5D:xx:xx:xx	7C-B1-5D-xx-xx-xx	7CB1.5Dxx.xxxx
7C:C3:85:xx:xx:xx	7C-C3-85-xx-xx-xx	7CC3.85xx.xxxx
80:13:82:xx:xx:xx	80-13-82-xx-xx-xx	8013.82xx.xxxx
80:38:BC:xx:xx:xx	80-38-BC-xx-xx-xx	8038.BCxx.xxxx
80:41:26:xx:xx:xx	80-41-26-xx-xx-xx	8041.26xx.xxxx
80:69:33:xx:xx:xx	80-69-33-xx-xx-xx	8069.33xx.xxxx
80:71:7A:xx:xx:xx	80-71-7A-xx-xx-xx	8071.7Axx.xxxx
80:7D:14:xx:xx:xx	80-7D-14-xx-xx-xx	807D.14xx.xxxx
80:B5:75:xx:xx:xx	80-B5-75-xx-xx-xx	80B5.75xx.xxxx
80:B6:86:xx:xx:xx	80-B6-86-xx-xx-xx	80B6.86xx.xxxx
80:D0:9B:xx:xx:xx	80-D0-9B-xx-xx-xx	80D0.9Bxx.xxxx
80:D4:A5:xx:xx:xx	80-D4-A5-xx-xx-xx	80D4.A5xx.xxxx
80:FB:06:xx:xx:xx	80-FB-06-xx-xx-xx	80FB.06xx.xxxx
84:21:F1:xx:xx:xx	84-21-F1-xx-xx-xx	8421.F1xx.xxxx
84:47:65:xx:xx:xx	84-47-65-xx-xx-xx	8447.65xx.xxxx
84:5B:12:xx:xx:xx	84-5B-12-xx-xx-xx	845B.12xx.xxxx
84:9F:B5:xx:xx:xx	84-9F-B5-xx-xx-xx	849F.B5xx.xxxx
84:A8:E4:xx:xx:xx	84-A8-E4-xx-xx-xx	84A8.E4xx.xxxx
84:A9:C4:xx:xx:xx	84-A9-C4-xx-xx-xx	84A9.C4xx.xxxx
84:AD:58:xx:xx:xx	84-AD-58-xx-xx-xx	84AD.58xx.xxxx
84:BE:52:xx:xx:xx	84-BE-52-xx-xx-xx	84BE.52xx.xxxx
84:DB:AC:xx:xx:xx	84-DB-AC-xx-xx-xx	84DB.ACxx.xxxx
88:10:8F:xx:xx:xx	88-10-8F-xx-xx-xx	8810.8Fxx.xxxx
88:11:96:xx:xx:xx	88-11-96-xx-xx-xx	8811.96xx.xxxx
88:28:B3:xx:xx:xx	88-28-B3-xx-xx-xx	8828.B3xx.xxxx
88:3F:D3:xx:xx:xx	88-3F-D3-xx-xx-xx	883F.D3xx.xxxx
88:40:3B:xx:xx:xx	88-40-3B-xx-xx-xx	8840.3Bxx.xxxx
88:44:77:xx:xx:xx	88-44-77-xx-xx-xx	8844.77xx.xxxx
88:53:D4:xx:xx:xx	88-53-D4-xx-xx-xx	8853.D4xx.xxxx
88:66:39:xx:xx:xx	88-66-39-xx-xx-xx	8866.39xx.xxxx
88:86:03:xx:xx:xx	88-86-03-xx-xx-xx	8886.03xx.xxxx
88:A2:D7:xx:xx:xx	88-A2-D7-xx-xx-xx	88A2.D7xx.xxxx
88:BC:C1:xx:xx:xx	88-BC-C1-xx-xx-xx	88BC.C1xx.xxxx
88:BF:E4:xx:xx:xx	88-BF-E4-xx-xx-xx	88BF.E4xx.xxxx
88:CE:FA:xx:xx:xx	88-CE-FA-xx-xx-xx	88CE.FAxx.xxxx
88:CF:98:xx:xx:xx	88-CF-98-xx-xx-xx	88CF.98xx.xxxx
88:E3:AB:xx:xx:xx	88-E3-AB-xx-xx-xx	88E3.ABxx.xxxx
88:F5:6E:xx:xx:xx	88-F5-6E-xx-xx-xx	88F5.6Exx.xxxx
88:F8:72:xx:xx:xx	88-F8-72-xx-xx-xx	88F8.72xx.xxxx
8C:0D:76:xx:xx:xx	8C-0D-76-xx-xx-xx	8C0D.76xx.xxxx
8C:15:C7:xx:xx:xx	8C-15-C7-xx-xx-xx	8C15.C7xx.xxxx
