24:A2:E1:xx:xx:xx	24-A2-E1-xx-xx-xx	24A2.E1xx.xxxx
24:AB:81:xx:xx:xx	24-AB-81-xx-xx-xx	24AB.81xx.xxxx
24:E3:14:xx:xx:xx	24-E3-14-xx-xx-xx	24E3.14xx.xxxx
24:F0:94:xx:xx:xx	24-F0-94-xx-xx-xx	24F0.94xx.xxxx
24:F6:77:xx:xx:xx	24-F6-77-xx-xx-xx	24F6.77xx.xxxx
28:0B:5C:xx:xx:xx	28-0B-5C-xx-xx-xx	280B.5Cxx.xxxx
28:37:37:xx:xx:xx	28-37-37-xx-xx-xx	2837.37xx.xxxx
28:5A:EB:xx:xx:xx	28-5A-EB-xx-xx-xx	285A.EBxx.xxxx
28:6A:B8:xx:xx:xx	28-6A-B8-xx-xx-xx	286A.B8xx.xxxx
28:6A:BA:xx:xx:xx	28-6A-BA-xx-xx-xx	286A.BAxx.xxxx
28:A0:2B:xx:xx:xx	28-A0-2B-xx-xx-xx	28A0.2Bxx.xxxx
28:CF:DA:xx:xx:xx	28-CF-DA-xx-xx-xx	28CF.DAxx.xxxx
28:CF:E9:xx:xx:xx	28-CF-E9-xx-xx-xx	28CF.E9xx.xxxx
28:E0:2C:xx:xx:xx	28-E0-2C-xx-xx-xx	28E0.2Cxx.xxxx
28:E1:4C:xx:xx:xx	28-E1-4C-xx-xx-xx	28E1.4Cxx.xxxx
28:E7:CF:xx:xx:xx	28-E7-CF-xx-xx-xx	28E7.CFxx.xxxx
28:ED:6A:xx:xx:xx	28-ED-6A-xx-xx-xx	28ED.6Axx.xxxx
28:F0:76:xx:xx:xx	28-F0-76-xx-xx-xx	28F0.76xx.xxxx
28:FF:3C:xx:xx:xx	28-FF-3C-xx-xx-xx	28FF.3Cxx.xxxx
2C:1F:23:xx:xx:xx	2C-1F-23-xx-xx-xx	2C1F.23xx.xxxx
2C:20:0B:xx:xx:xx	2C-20-0B-xx-xx-xx	2C20.0Bxx.xxxx
2C:33:61:xx:xx:xx	2C-33-61-xx-xx-xx	2C33.61xx.xxxx
2C:61:F6:xx:xx:xx	2C-61-F6-xx-xx-xx	2C61.F6xx.xxxx
