D4:5D:42:xx:xx:xx	D4-5D-42-xx-xx-xx	D45D.42xx.xxxx
D4:93:98:xx:xx:xx	D4-93-98-xx-xx-xx	D493.98xx.xxxx
D4:C1:FC:xx:xx:xx	D4-C1-FC-xx-xx-xx	D4C1.FCxx.xxxx
D4:CB:AF:xx:xx:xx	D4-CB-AF-xx-xx-xx	D4CB.AFxx.xxxx
D4:E3:3F:xx:xx:xx	D4-E3-3F-xx-xx-xx	D4E3.3Fxx.xxxx
D8:2A:7E:xx:xx:xx	D8-2A-7E-xx-xx-xx	D82A.7Exx.xxxx
D8:75:33:xx:xx:xx	D8-75-33-xx-xx-xx	D875.33xx.xxxx
D8:EF:CD:xx:xx:xx	D8-EF-CD-xx-xx-xx	D8EF.CDxx.xxxx
DC:3E:F8:xx:xx:xx	DC-3E-F8-xx-xx-xx	DC3E.F8xx.xxxx
DC:9F:A4:xx:xx:xx	DC-9F-A4-xx-xx-xx	DC9F.A4xx.xxxx
DC:B0:82:xx:xx:xx	DC-B0-82-xx-xx-xx	DCB0.82xx.xxxx
DC:C7:93:xx:xx:xx	DC-C7-93-xx-xx-xx	DCC7.93xx.xxxx
DC:F1:10:xx:xx:xx	DC-F1-10-xx-xx-xx	DCF1.10xx.xxxx
E0:A6:70:xx:xx:xx	E0-A6-70-xx-xx-xx	E0A6.70xx.xxxx
E4:81:84:xx:xx:xx	E4-81-84-xx-xx-xx	E481.84xx.xxxx
E4:EC:10:xx:xx:xx	E4-EC-10-xx-xx-xx	E4EC.10xx.xxxx
E8:15:0E:xx:xx:xx	E8-15-0E-xx-xx-xx	E815.0Exx.xxxx
E8:93:63:xx:xx:xx	E8-93-63-xx-xx-xx	E893.63xx.xxxx
E8:CB:A1:xx:xx:xx	E8-CB-A1-xx-xx-xx	E8CB.A1xx.xxxx
EC:9B:5B:xx:xx:xx	EC-9B-5B-xx-xx-xx	EC9B.5Bxx.xxxx
EC:F3:5B:xx:xx:xx	EC-F3-5B-xx-xx-xx	ECF3.5Bxx.xxxx
F4:8E:09:xx:xx:xx	F4-8E-09-xx-xx-xx	F48E.09xx.xxxx
F4:F5:A5:xx:xx:xx	F4-F5-A5-xx-xx-xx	F4F5.A5xx.xxxx
F8:13:08:xx:xx:xx	F8-13-08-xx-xx-xx	F813.08xx.xxxx
F8:5C:4D:xx:xx:xx	F8-5C-4D-xx-xx-xx	F85C.4Dxx.xxxx
F8:5F:2A:xx:xx:xx	F8-5F-2A-xx-xx-xx	F85F.2Axx.xxxx
FC:2F:AA:xx:xx:xx	FC-2F-AA-xx-xx-xx	FC2F.AAxx.xxxx
FC:92:3B:xx:xx:xx	FC-92-3B-xx-xx-xx	FC92.3Bxx.xxxx
FC:E5:57:xx:xx:xx	FC-E5-57-xx-xx-xx	FCE5.57xx.xxxx
