00:14:F1:xx:xx:xx	00-14-F1-xx-xx-xx	0014.F1xx.xxxx
00:14:F2:xx:xx:xx	00-14-F2-xx-xx-xx	0014.F2xx.xxxx
00:15:2B:xx:xx:xx	00-15-2B-xx-xx-xx	0015.2Bxx.xxxx
00:15:2C:xx:xx:xx	00-15-2C-xx-xx-xx	0015.2Cxx.xxxx
00:15:62:xx:xx:xx	00-15-62-xx-xx-xx	0015.62xx.xxxx
00:15:63:xx:xx:xx	00-15-63-xx-xx-xx	0015.63xx.xxxx
00:15:C6:xx:xx:xx	00-15-C6-xx-xx-xx	0015.C6xx.xxxx
00:15:C7:xx:xx:xx	00-15-C7-xx-xx-xx	0015.C7xx.xxxx
00:15:F9:xx:xx:xx	00-15-F9-xx-xx-xx	0015.F9xx.xxxx
00:15:FA:xx:xx:xx	00-15-FA-xx-xx-xx	0015.FAxx.xxxx
00:16:46:xx:xx:xx	00-16-46-xx-xx-xx	0016.46xx.xxxx
00:16:47:xx:xx:xx	00-16-47-xx-xx-xx	0016.47xx.xxxx
00:16:9C:xx:xx:xx	00-16-9C-xx-xx-xx	0016.9Cxx.xxxx
00:16:9D:xx:xx:xx	00-16-9D-xx-xx-xx	0016.9Dxx.xxxx
00:16:B6:xx:xx:xx	00-16-B6-xx-xx-xx	0016.B6xx.xxxx
00:16:C7:xx:xx:xx	00-16-C7-xx-xx-xx	0016.C7xx.xxxx
00:16:C8:xx:xx:xx	00-16-C8-xx-xx-xx	0016.C8xx.xxxx
00:17:0E:xx:xx:xx	00-17-0E-xx-xx-xx	0017.0Exx.xxxx
00:17:0F:xx:xx:xx	00-17-0F-xx-xx-xx	0017.0Fxx.xxxx
00:17:3B:xx:xx:xx	00-17-3B-xx-xx-xx	0017.3Bxx.xxxx
00:17:59:xx:xx:xx	00-17-59-xx-xx-xx	0017.59xx.xxxx
00:17:5A:xx:xx:xx	00-17-5A-xx-xx-xx	0017.5Axx.xxxx
00:17:94:xx:xx:xx	00-17-94-xx-xx-xx	0017.94xx.xxxx
00:17:95:xx:xx:xx	00-17-95-xx-xx-xx	0017.95xx.xxxx
00:17:DF:xx:xx:xx	00-17-DF-xx-xx-xx	0017.DFxx.xxxx
00:17:E0:xx:xx:xx	00-17-E0-xx-xx-xx	0017.E0xx.xxxx
00:18:18:xx:xx:xx	00-18-18-xx-xx-xx	0018.18xx.xxxx
00:18:19:xx:xx:xx	00-18-19-xx-xx-xx	0018.19xx.xxxx
00:18:39:xx:xx:xx	00-18-39-xx-xx-xx	0018.39xx.xxxx
00:18:68:xx:xx:xx	00-18-68-xx-xx-xx	0018.68xx.xxxx
00:18:73:xx:xx:xx	00-18-73-xx-xx-xx	0018.73xx.xxxx
00:18:74:xx:xx:xx	00-18-74-xx-xx-xx	0018.74xx.xxxx
00:18:B9:xx:xx:xx	00-18-B9-xx-xx-xx	0018.B9xx.xxxx
00:18:BA:xx:xx:xx	00-18-BA-xx-xx-xx	0018.BAxx.xxxx
00:18:F8:xx:xx:xx	00-18-F8-xx-xx-xx	0018.F8xx.xxxx
00:19:06:xx:xx:xx	00-19-06-xx-xx-xx	0019.06xx.xxxx
00:19:07:xx:xx:xx	00-19-07-xx-xx-xx	0019.07xx.xxxx
00:19:2F:xx:xx:xx	00-19-2F-xx-xx-xx	0019.2Fxx.xxxx
00:19:30:xx:xx:xx	00-19-30-xx-xx-xx	0019.30xx.xxxx
00:19:47:xx:xx:xx	00-19-47-xx-xx-xx	0019.47xx.xxxx
00:19:55:xx:xx:xx	00-19-55-xx-xx-xx	0019.55xx.xxxx
00:19:56:xx:xx:xx	00-19-56-xx-xx-xx	0019.56xx.xxxx
00:19:A9:xx:xx:xx	00-19-A9-xx-xx-xx	0019.A9xx.xxxx
00:19:AA:xx:xx:xx	00-19-AA-xx-xx-xx	0019.AAxx.xxxx
00:19:E7:xx:xx:xx	00-19-E7-xx-xx-xx	0019.E7xx.xxxx
00:19:E8:xx:xx:xx	00-19-E8-xx-xx-xx	0019.E8xx.xxxx
00:1A:2F:xx:xx:xx	00-1A-2F-xx-xx-xx	001A.2Fxx.xxxx
00:1A:30:xx:xx:xx	00-1A-30-xx-xx-xx	001A.30xx.xxxx
00:1A:6C:xx:xx:xx	00-1A-6C-xx-xx-xx	001A.6Cxx.xxxx
00:1A:6D:xx:xx:xx	00-1A-6D-xx-xx-xx	001A.6Dxx.xxxx
00:1A:70:xx:xx:xx	00-1A-70-xx-xx-xx	001A.70xx.xxxx
00:1A:A1:xx:xx:xx	00-1A-A1-xx-xx-xx	001A.A1xx.xxxx
00:1A:A2:xx:xx:xx	00-1A-A2-xx-xx-xx	001A.A2xx.xxxx
00:1A:E2:xx:xx:xx	00-1A-E2-xx-xx-xx	001A.E2xx.xxxx
00:1A:E3:xx:xx:xx	00-1A-E3-xx-xx-xx	001A.E3xx.xxxx
00:1B:0C:xx:xx:xx	00-1B-0C-xx-xx-xx	001B.0Cxx.xxxx
00:1B:0D:xx:xx:xx	00-1B-0D-xx-xx-xx	001B.0Dxx.xxxx
00:1B:2A:xx:xx:xx	00-1B-2A-xx-xx-xx	001B.2Axx.xxxx
00:1B:2B:xx:xx:xx	00-1B-2B-xx-xx-xx	001B.2Bxx.xxxx
00:1B:53:xx:xx:xx	00-1B-53-xx-xx-xx	001B.53xx.xxxx
00:1B:54:xx:xx:xx	00-1B-54-xx-xx-xx	001B.54xx.xxxx
00:1B:67:xx:xx:xx	00-1B-67-xx-xx-xx	001B.67xx.xxxx
00:1B:8F:xx:xx:xx	00-1B-8F-xx-xx-xx	001B.8Fxx.xxxx
00:1B:90:xx:xx:xx	00-1B-90-xx-xx-xx	001B.90xx.xxxx
00:1B:D4:xx:xx:xx	00-1B-D4-xx-xx-xx	001B.D4xx.xxxx
00:1B:D5:xx:xx:xx	00-1B-D5-xx-xx-xx	001B.D5xx.xxxx
00:1B:D7:xx:xx:xx	00-1B-D7-xx-xx-xx	001B.D7xx.xxxx
00:1C:0E:xx:xx:xx	00-1C-0E-xx-xx-xx	001C.0Exx.xxxx
00:1C:0F:xx:xx:xx	00-1C-0F-xx-xx-xx	001C.0Fxx.xxxx
00:1C:10:xx:xx:xx	00-1C-10-xx-xx-xx	001C.10xx.xxxx
00:1C:57:xx:xx:xx	00-1C-57-xx-xx-xx	001C.57xx.xxxx
00:1C:58:xx:xx:xx	00-1C-58-xx-xx-xx	001C.58xx.xxxx
00:1C:B0:xx:xx:xx	00-1C-B0-xx-xx-xx	001C.B0xx.xxxx
00:1C:B1:xx:xx:xx	00-1C-B1-xx-xx-xx	001C.B1xx.xxxx
00:1C:F6:xx:xx:xx	00-1C-F6-xx-xx-xx	001C.F6xx.xxxx
00:1C:F9:xx:xx:xx	00-1C-F9-xx-xx-xx	001C.F9xx.xxxx
00:1D:45:xx:xx:xx	00-1D-45-xx-xx-xx	001D.45xx.xxxx
00:1D:46:xx:xx:xx	00-1D-46-xx-xx-xx	001D.46xx.xxxx
00:1D:70:xx:xx:xx	00-1D-70-xx-xx-xx	001D.70xx.xxxx
00:1D:71:xx:xx:xx	00-1D-71-xx-xx-xx	001D.71xx.xxxx
00:1D:7E:xx:xx:xx	00-1D-7E-xx-xx-xx	001D.7Exx.xxxx
00:1D:A1:xx:xx:xx	00-1D-A1-xx-xx-xx	001D.A1xx.xxxx
00:1D:A2:xx:xx:xx	00-1D-A2-xx-xx-xx	001D.A2xx.xxxx
00:1D:E5:xx:xx:xx	00-1D-E5-xx-xx-xx	001D.E5xx.xxxx
00:1D:E6:xx:xx:xx	00-1D-E6-xx-xx-xx	001D.E6xx.xxxx
00:1E:13:xx:xx:xx	00-1E-13-xx-xx-xx	001E.13xx.xxxx
00:1E:14:xx:xx:xx	00-1E-14-xx-xx-xx	001E.14xx.xxxx
00:1E:49:xx:xx:xx	00-1E-49-xx-xx-xx	001E.49xx.xxxx
00:1E:4A:xx:xx:xx	00-1E-4A-xx-xx-xx	001E.4Axx.xxxx
00:1E:6B:xx:xx:xx	00-1E-6B-xx-xx-xx	001E.6Bxx.xxxx
00:1E:79:xx:xx:xx	00-1E-79-xx-xx-xx	001E.79xx.xxxx
00:1E:7A:xx:xx:xx	00-1E-7A-xx-xx-xx	001E.7Axx.xxxx
00:1E:BD:xx:xx:xx	00-1E-BD-xx-xx-xx	001E.BDxx.xxxx
00:1E:BE:xx:xx:xx	00-1E-BE-xx-xx-xx	001E.BExx.xxxx
00:1E:E5:xx:xx:xx	00-1E-E5-xx-xx-xx	001E.E5xx.xxxx
00:1E:F6:xx:xx:xx	00-1E-F6-xx-xx-xx	001E.F6xx.xxxx
00:1E:F7:xx:xx:xx	00-1E-F7-xx-xx-xx	001E.F7xx.xxxx
00:1F:26:xx:xx:xx	00-1F-26-xx-xx-xx	001F.26xx.xxxx
00:1F:27:xx:xx:xx	00-1F-27-xx-xx-xx	001F.27xx.xxxx
00:1F:6C:xx:xx:xx	00-1F-6C-xx-xx-xx	001F.6Cxx.xxxx
00:1F:6D:xx:xx:xx	00-1F-6D-xx-xx-xx	001F.6Dxx.xxxx
00:1F:9D:xx:xx:xx	00-1F-9D-xx-xx-xx	001F.9Dxx.xxxx
00:1F:9E:xx:xx:xx	00-1F-9E-xx-xx-xx	001F.9Exx.xxxx
00:1F:C9:xx:xx:xx	00-1F-C9-xx-xx-xx	001F.C9xx.xxxx
00:1F:CA:xx:xx:xx	00-1F-CA-xx-xx-xx	001F.CAxx.xxxx
00:21:1B:xx:xx:xx	00-21-1B-xx-xx-xx	0021.1Bxx.xxxx
00:21:1C:xx:xx:xx	00-21-1C-xx-xx-xx	0021.1Cxx.xxxx
00:21:29:xx:xx:xx	00-21-29-xx-xx-xx	0021.29xx.xxxx
00:21:55:xx:xx:xx	00-21-55-xx-xx-xx	0021.55xx.xxxx
00:21:56:xx:xx:xx	00-21-56-xx-xx-xx	0021.56xx.xxxx
00:21:A0:xx:xx:xx	00-21-A0-xx-xx-xx	0021.A0xx.xxxx
00:21:A1:xx:xx:xx	00-21-A1-xx-xx-xx	0021.A1xx.xxxx
00:21:BE:xx:xx:xx	00-21-BE-xx-xx-xx	0021.BExx.xxxx
00:21:D7:xx:xx:xx	00-21-D7-xx-xx-xx	0021.D7xx.xxxx
00:21:D8:xx:xx:xx	00-21-D8-xx-xx-xx	0021.D8xx.xxxx
00:22:0C:xx:xx:xx	00-22-0C-xx-xx-xx	0022.0Cxx.xxxx
00:22:0D:xx:xx:xx	00-22-0D-xx-xx-xx	0022.0Dxx.xxxx
00:22:3A:xx:xx:xx	00-22-3A-xx-xx-xx	0022.3Axx.xxxx
00:22:55:xx:xx:xx	00-22-55-xx-xx-xx	0022.55xx.xxxx
00:22:56:xx:xx:xx	00-22-56-xx-xx-xx	0022.56xx.xxxx
00:22:6B:xx:xx:xx	00-22-6B-xx-xx-xx	0022.6Bxx.xxxx
