84:3A:4B:xx:xx:xx	84-3A-4B-xx-xx-xx	843A.4Bxx.xxxx
84:68:3E:xx:xx:xx	84-68-3E-xx-xx-xx	8468.3Exx.xxxx
84:A6:C8:xx:xx:xx	84-A6-C8-xx-xx-xx	84A6.C8xx.xxxx
84:EF:18:xx:xx:xx	84-EF-18-xx-xx-xx	84EF.18xx.xxxx
84:FD:D1:xx:xx:xx	84-FD-D1-xx-xx-xx	84FD.D1xx.xxxx
88:53:2E:xx:xx:xx	88-53-2E-xx-xx-xx	8853.2Exx.xxxx
88:78:73:xx:xx:xx	88-78-73-xx-xx-xx	8878.73xx.xxxx
88:B1:11:xx:xx:xx	88-B1-11-xx-xx-xx	88B1.11xx.xxxx
8C:70:5A:xx:xx:xx	8C-70-5A-xx-xx-xx	8C70.5Axx.xxxx
8C:A9:82:xx:xx:xx	8C-A9-82-xx-xx-xx	8CA9.82xx.xxxx
90:2E:1C:xx:xx:xx	90-2E-1C-xx-xx-xx	902E.1Cxx.xxxx
90:49:FA:xx:xx:xx	90-49-FA-xx-xx-xx	9049.FAxx.xxxx
90:61:AE:xx:xx:xx	90-61-AE-xx-xx-xx	9061.AExx.xxxx
90:78:41:xx:xx:xx	90-78-41-xx-xx-xx	9078.41xx.xxxx
90:E2:BA:xx:xx:xx	90-E2-BA-xx-xx-xx	90E2.BAxx.xxxx
94:65:9C:xx:xx:xx	94-65-9C-xx-xx-xx	9465.9Cxx.xxxx
94:B8:6D:xx:xx:xx	94-B8-6D-xx-xx-xx	94B8.6Dxx.xxxx
98:3B:8F:xx:xx:xx	98-3B-8F-xx-xx-xx	983B.8Fxx.xxxx
98:4F:EE:xx:xx:xx	98-4F-EE-xx-xx-xx	984F.EExx.xxxx
98:54:1B:xx:xx:xx	98-54-1B-xx-xx-xx	9854.1Bxx.xxxx
9C:4E:36:xx:xx:xx	9C-4E-36-xx-xx-xx	9C4E.36xx.xxxx
9C:DA:3E:xx:xx:xx	9C-DA-3E-xx-xx-xx	9CDA.3Exx.xxxx
A0:36:9F:xx:xx:xx	A0-36-9F-xx-xx-xx	A036.9Fxx.xxxx
A0:51:0B:xx:xx:xx	A0-51-0B-xx-xx-xx	A051.0Bxx.xxxx
A0:88:69:xx:xx:xx	A0-88-69-xx-xx-xx	A088.69xx.xxxx
A0:88:B4:xx:xx:xx	A0-88-B4-xx-xx-xx	A088.B4xx.xxxx
A0:A4:C5:xx:xx:xx	A0-A4-C5-xx-xx-xx	A0A4.C5xx.xxxx
A0:A8:CD:xx:xx:xx	A0-A8-CD-xx-xx-xx	A0A8.CDxx.xxxx
A0:AF:BD:xx:xx:xx	A0-AF-BD-xx-xx-xx	A0AF.BDxx.xxxx
A0:C5:89:xx:xx:xx	A0-C5-89-xx-xx-xx	A0C5.89xx.xxxx
A0:D3:7A:xx:xx:xx	A0-D3-7A-xx-xx-xx	A0D3.7Axx.xxxx
A4:02:B9:xx:xx:xx	A4-02-B9-xx-xx-xx	A402.B9xx.xxxx
A4:34:D9:xx:xx:xx	A4-34-D9-xx-xx-xx	A434.D9xx.xxxx
A4:4E:31:xx:xx:xx	A4-4E-31-xx-xx-xx	A44E.31xx.xxxx
A4:BF:01:xx:xx:xx	A4-BF-01-xx-xx-xx	A4BF.01xx.xxxx
A4:C3:F0:xx:xx:xx	A4-C3-F0-xx-xx-xx	A4C3.F0xx.xxxx
A4:C4:94:xx:xx:xx	A4-C4-94-xx-xx-xx	A4C4.94xx.xxxx
A8:6D:AA:xx:xx:xx	A8-6D-AA-xx-xx-xx	A86D.AAxx.xxxx
AC:2B:6E:xx:xx:xx	AC-2B-6E-xx-xx-xx	AC2B.6Exx.xxxx
AC:72:89:xx:xx:xx	AC-72-89-xx-xx-xx	AC72.89xx.xxxx
AC:7B:A1:xx:xx:xx	AC-7B-A1-xx-xx-xx	AC7B.A1xx.xxxx
AC:ED:5C:xx:xx:xx	AC-ED-5C-xx-xx-xx	ACED.5Cxx.xxxx
AC:FD:CE:xx:xx:xx	AC-FD-CE-xx-xx-xx	ACFD.CExx.xxxx
B0:35:9F:xx:xx:xx	B0-35-9F-xx-xx-xx	B035.9Fxx.xxxx
B4:69:21:xx:xx:xx	B4-69-21-xx-xx-xx	B469.21xx.xxxx
B4:6B:FC:xx:xx:xx	B4-6B-FC-xx-xx-xx	B46B.FCxx.xxxx
B4:6D:83:xx:xx:xx	B4-6D-83-xx-xx-xx	B46D.83xx.xxxx
B4:96:91:xx:xx:xx	B4-96-91-xx-xx-xx	B496.91xx.xxxx
B4:B6:76:xx:xx:xx	B4-B6-76-xx-xx-xx	B4B6.76xx.xxxx
B4:D5:BD:xx:xx:xx	B4-D5-BD-xx-xx-xx	B4D5.BDxx.xxxx
B8:03:05:xx:xx:xx	B8-03-05-xx-xx-xx	B803.05xx.xxxx
B8:08:CF:xx:xx:xx	B8-08-CF-xx-xx-xx	B808.CFxx.xxxx
B8:81:98:xx:xx:xx	B8-81-98-xx-xx-xx	B881.98xx.xxxx
B8:8A:60:xx:xx:xx	B8-8A-60-xx-xx-xx	B88A.60xx.xxxx
B8:B8:1E:xx:xx:xx	B8-B8-1E-xx-xx-xx	B8B8.1Exx.xxxx
B8:BF:83:xx:xx:xx	B8-BF-83-xx-xx-xx	B8BF.83xx.xxxx
BC:0F:64:xx:xx:xx	BC-0F-64-xx-xx-xx	BC0F.64xx.xxxx
BC:77:37:xx:xx:xx	BC-77-37-xx-xx-xx	BC77.37xx.xxxx
BC:A8:A6:xx:xx:xx	BC-A8-A6-xx-xx-xx	BCA8.A6xx.xxxx
C0:B6:F9:xx:xx:xx	C0-B6-F9-xx-xx-xx	C0B6.F9xx.xxxx
C4:85:08:xx:xx:xx	C4-85-08-xx-xx-xx	C485.08xx.xxxx
C4:D9:87:xx:xx:xx	C4-D9-87-xx-xx-xx	C4D9.87xx.xxxx
C8:21:58:xx:xx:xx	C8-21-58-xx-xx-xx	C821.58xx.xxxx
C8:34:8E:xx:xx:xx	C8-34-8E-xx-xx-xx	C834.8Exx.xxxx
C8:F7:33:xx:xx:xx	C8-F7-33-xx-xx-xx	C8F7.33xx.xxxx
CC:2F:71:xx:xx:xx	CC-2F-71-xx-xx-xx	CC2F.71xx.xxxx
CC:3D:82:xx:xx:xx	CC-3D-82-xx-xx-xx	CC3D.82xx.xxxx
D0:57:7B:xx:xx:xx	D0-57-7B-xx-xx-xx	D057.7Bxx.xxxx
D0:7E:35:xx:xx:xx	D0-7E-35-xx-xx-xx	D07E.35xx.xxxx
D0:AB:D5:xx:xx:xx	D0-AB-D5-xx-xx-xx	D0AB.D5xx.xxxx
D4:25:8B:xx:xx:xx	D4-25-8B-xx-xx-xx	D425.8Bxx.xxxx
D4:3B:04:xx:xx:xx	D4-3B-04-xx-xx-xx	D43B.04xx.xxxx
D4:6D:6D:xx:xx:xx	D4-6D-6D-xx-xx-xx	D46D.6Dxx.xxxx
D4:D2:52:xx:xx:xx	D4-D2-52-xx-xx-xx	D4D2.52xx.xxxx
D8:F2:CA:xx:xx:xx	D8-F2-CA-xx-xx-xx	D8F2.CAxx.xxxx
D8:FC:93:xx:xx:xx	D8-FC-93-xx-xx-xx	D8FC.93xx.xxxx
DC:53:60:xx:xx:xx	DC-53-60-xx-xx-xx	DC53.60xx.xxxx
DC:8B:28:xx:xx:xx	DC-8B-28-xx-xx-xx	DC8B.28xx.xxxx
DC:A9:71:xx:xx:xx	DC-A9-71-xx-xx-xx	DCA9.71xx.xxxx
DC:FB:48:xx:xx:xx	DC-FB-48-xx-xx-xx	DCFB.48xx.xxxx
E0:94:67:xx:xx:xx	E0-94-67-xx-xx-xx	E094.67xx.xxxx
E0:9D:31:xx:xx:xx	E0-9D-31-xx-xx-xx	E09D.31xx.xxxx
E4:02:9B:xx:xx:xx	E4-02-9B-xx-xx-xx	E402.9Bxx.xxxx
E4:42:A6:xx:xx:xx	E4-42-A6-xx-xx-xx	E442.A6xx.xxxx
E4:70:B8:xx:xx:xx	E4-70-B8-xx-xx-xx	E470.B8xx.xxxx
E4:A4:71:xx:xx:xx	E4-A4-71-xx-xx-xx	E4A4.71xx.xxxx
E4:A7:A0:xx:xx:xx	E4-A7-A0-xx-xx-xx	E4A7.A0xx.xxxx
E4:B3:18:xx:xx:xx	E4-B3-18-xx-xx-xx	E4B3.18xx.xxxx
E4:F8:9C:xx:xx:xx	E4-F8-9C-xx-xx-xx	E4F8.9Cxx.xxxx
E4:FA:FD:xx:xx:xx	E4-FA-FD-xx-xx-xx	E4FA.FDxx.xxxx
E8:2A:EA:xx:xx:xx	E8-2A-EA-xx-xx-xx	E82A.EAxx.xxxx
E8:B1:FC:xx:xx:xx	E8-B1-FC-xx-xx-xx	E8B1.FCxx.xxxx
F0:42:1C:xx:xx:xx	F0-42-1C-xx-xx-xx	F042.1Cxx.xxxx
F0:D5:BF:xx:xx:xx	F0-D5-BF-xx-xx-xx	F0D5.BFxx.xxxx
F4:06:69:xx:xx:xx	F4-06-69-xx-xx-xx	F406.69xx.xxxx
F4:8C:50:xx:xx:xx	F4-8C-50-xx-xx-xx	F48C.50xx.xxxx
